Energy N
0.59125 3
0.5925 6
0.59375 1
0.595 30
0.59625 3
0.5975 5
0.59875 2
0.6 4
0.60125 6
0.6025 2
0.60375 5
0.605 5
0.60625 2
0.6075 3
0.60875 0
0.61 2
0.61125 3
0.6125 3
0.61375 4
0.615 10
0.61625 1
0.6175 1
0.61875 6
0.62 6
0.62125 0
0.6225 1
0.62375 1
0.625 7
0.62625 6
0.6275 4
0.62875 6
0.63 6
0.63125 1
0.6325 4
0.63375 3
0.635 1
0.63625 7
0.6375 0
0.63875 9
0.64 6
0.64125 1
0.6425 2
0.64375 4
0.645 8
0.64625 1
0.6475 4
0.64875 1
0.65 3
0.65125 5
0.6525 1
0.65375 1
0.655 1
0.65625 3
0.6575 3
0.65875 5
0.66 3
0.66125 3
0.6625 4
0.66375 13
0.665 2
0.66625 10
0.6675 3
0.66875 2
0.67 4
0.67125 2
0.6725 5
0.67375 5
0.675 2
0.67625 2
0.6775 4
0.67875 5
0.68 6
0.68125 6
0.6825 2
0.68375 7
0.685 11
0.68625 4
0.6875 3
0.68875 0
0.69 9
0.69125 8
0.6925 0
0.69375 4
0.695 2
0.69625 2
0.6975 2
0.69875 3
0.7 0
0.70125 3
0.7025 3
0.70375 4
0.705 8
0.70625 0
0.7075 3
0.70875 3
0.71 2
0.71125 1
0.7125 7
0.71375 4
0.715 4
0.71625 4
0.7175 3
0.71875 10
0.72 5
0.72125 0
0.7225 1
0.72375 3
0.725 6
0.72625 0
0.7275 5
0.72875 3
0.73 2
0.73125 3
0.7325 2
0.73375 2
0.735 6
0.73625 0
0.7375 1
0.73875 0
0.74 3
0.74125 2
0.7425 2
0.74375 6
0.745 0
0.74625 1
0.7475 1
0.74875 0
0.75 2
0.75125 3
0.7525 5
0.75375 1
0.755 5
0.75625 4
0.7575 1
0.75875 3
0.76 2
0.76125 2
0.7625 4
0.76375 4
0.765 3
0.76625 4
0.7675 1
0.76875 3
0.77 1
0.77125 3
0.7725 9
0.77375 6
0.775 0
0.77625 3
0.7775 0
0.77875 1
0.78 4
0.78125 1
0.7825 2
0.78375 3
0.785 2
0.78625 5
0.7875 4
0.78875 4
0.79 6
0.79125 2
0.7925 0
0.79375 5
0.795 4
0.79625 2
0.7975 0
0.79875 3
0.8 5
0.80125 5
0.8025 3
0.80375 3
0.805 3
0.80625 3
0.8075 0
0.80875 0
0.81 1
0.81125 7
0.8125 1
0.81375 1
0.815 0
0.81625 1
0.8175 2
0.81875 7
0.82 0
